id;full_name;dob;telnum;mail;loyalty
C0000000001;Courtney Brown;1990-11-23;+43  1 1796608;Courtney.Brown@outlook.com;0
C0000000002;LaVar Arrington;1970-06-02;+43  676 1776012;LaVar.Arrington@example.com;0
C0000000003;Chris Samuels;1941-01-05;+43  664 3054440;Chris.Samuels@gmail.com;0
C0000000004;Peter Warrick;1997-02-23;+43  664 9014844;Peter.Warrick@gmx.de;0
C0000000005;Jamal Lewis;1983-02-13;+43  1 4641777;Jamal.Lewis@univie.ac.at;0
C0000000006;Corey Simon;1959-09-30;+43  664 3262390;Corey.Simon@gmail.com;0
C0000000007;Thomas Jones;1994-09-11;+43  680 5784040;Thomas.Jones@gmail.com;0
C0000000008;Plaxico Burress;1974-04-16;+43  664 8657769;Plaxico.Burress@gmx.at;0
C0000000009;Brian Urlacher;2003-03-12;+43  676 5078958;Brian.Urlacher@me.com;0
C0000000010;Travis Taylor;1994-08-24;+43  664 6945044;Travis.Taylor@gmx.de;1
C0000000011;Ron Dayne;1940-07-18;+43  664 9157487;Ron.Dayne@gmx.at;0
C0000000012;Shaun Ellis;1942-12-10;+43  1 6445512;Shaun.Ellis@example.com;0
C0000000013;John Abraham;1979-10-28;+43  680 2421767;John.Abraham@chello.at;0
C0000000014;Bubba Franks;1966-01-17;+43  680 3004069;Bubba.Franks@gmx.at;0
C0000000015;Deltha O'Neal;1992-08-31;+43  664 2485991;Deltha.ONeal@univie.ac.at;0
C0000000016;Julian Peterson;1988-09-11;+43  676 3861552;Julian.Peterson@gmx.de;0
C0000000017;Sebastian Janikowski;1960-12-16;+43  664 1190958;Sebastian.Janikowski@me.com;0
C0000000018;Chad Pennington;2001-08-14;+43  1 2244671;Chad.Pennington@chello.at;0
C0000000019;Shaun Alexander;1999-05-10;+43  676 1637460;Shaun.Alexander@gmail.com;0
C0000000020;Stockar McDougle;1965-08-07;+43  664 5911871;Stockar.McDougle@chello.at;1
C0000000021;Sylvester Morris;1975-05-08;+43  676 9198500;Sylvester.Morris@gmail.com;0
C0000000022;Chris McIntosh;1965-09-14;+43  664 7909469;Chris.McIntosh@gmx.at;0
C0000000023;Rashard Anderson;2001-03-15;+43  676 4335195;Rashard.Anderson@hotmail.com;0
C0000000024;Ahmed Plummer;1953-09-08;+43  664 7684725;Ahmed.Plummer@hotmail.com;0
C0000000025;Chris Hovan;2002-11-09;+43  664 8202311;Chris.Hovan@chello.at;0
C0000000026;Erik Flowers;1990-10-01;+43  664 4166602;Erik.Flowers@me.com;0
C0000000027;Anthony Becht;1978-01-29;+43  664 6151489;Anthony.Becht@chello.at;0
C0000000028;Rob Morris;1951-01-20;+43  676 1394467;Rob.Morris@chello.at;0
C0000000029;R. Jay Soward;1969-12-13;+43  664 4439687;RJay.Soward@gmx.at;0
C0000000030;Keith Bulluck;1959-03-23;+43  664 8486706;Keith.Bulluck@example.com;1
C0000000031;Trung Canidate;1962-06-07;+43  664 9647162;Trung.Canidate@me.com;0
C0000000032;Dennis Northcutt;1944-11-01;+43  1 7234009;Dennis.Northcutt@yahoo.com;0
C0000000033;Darren Howard;1953-11-16;+43  680 9959033;Darren.Howard@gmx.at;0
C0000000034;Mark Roman;1979-07-24;+43  664 9467059;Mark.Roman@chello.at;0
C0000000035;John Engelberger;1954-10-04;+43  664 6544529;John.Engelberger@chello.at;0
C0000000036;Todd Pinkston;1967-10-11;+43  680 1079285;Todd.Pinkston@hotmail.com;0
C0000000037;Travis Claridge;1967-03-26;+43  664 3765160;Travis.Claridge@gmail.com;0
C0000000038;Marvel Smith;1999-12-28;+43  664 5274889;Marvel.Smith@chello.at;0
C0000000039;Mike Brown;1970-03-02;+43  664 6906496;Mike.Brown@outlook.com;0
C0000000040;Ian Gold;1965-07-06;+43  664 8369273;Ian.Gold@chello.at;1
